Run,Run ID,train_accuracy
GNN,cff5b1dc03174c6e813c37cd05e87c9f,0.39119804400978
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,0.9854319478402608
Resnet18,1ee91b4b80f54467934270a45764aba6,0.9855338223308884
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,0.9375509372453138
VGG16,9aca273a15e5467bba00371a616819dd,0.9174816625916871
Alex+GNN,22c3671619ea4d0fb838680ebe4ea957,0.9303178484107579
Alex,ba40f2ee25ac4cac8729ff0f6e681a9f,0.8495313773431132
