Run,Run ID,metric,step,timestamp,value
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,1,1.73599E+12,0.6236756316218419
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,2,1.73599E+12,0.7481662591687042
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,3,1.73599E+12,0.7939079054604727
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,4,1.73599E+12,0.8346577017114915
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,5,1.73599E+12,0.8633863080684596
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,6,1.73599E+12,0.8971067644661777
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,7,1.73599E+12,0.9163610431947841
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,8,1.73599E+12,0.9386715566422168
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,9,1.73599E+12,0.9583333333333334
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,10,1.73599E+12,0.9689282803585982
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,11,1.73599E+12,0.967400163
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,12,1.73599E+12,0.9733088834555828
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,13,1.73599E+12,0.9732070089649552
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,14,1.736E+12,0.9760594947025265
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,15,1.736E+12,0.9791157294213529
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,16,1.736E+12,0.984922575
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,17,1.736E+12,0.9835982070089649
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,18,1.736E+12,0.9854319478402608
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,19,1.736E+12,0.9857375713121435
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,20,1.736E+12,0.981560717
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,21,1.736E+12,0.9882844335778321
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,22,1.736E+12,0.9896088019559902
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,23,1.736E+12,0.989201304
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,24,1.736E+12,0.9904237978810106
Resnet18+GNN,f8b7cc0054944503a7b1aa59647bc9c9,train_accuracy,25,1.736E+12,0.9854319478402608
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,1,1.73599E+12,0.6176650366748166
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,2,1.73599E+12,0.742359413
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,3,1.73599E+12,0.7871841890790546
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,4,1.73599E+12,0.8302770986145069
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,5,1.73599E+12,0.868480033
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,6,1.73599E+12,0.8963936430317848
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,7,1.73599E+12,0.9164629176854115
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,8,1.73599E+12,0.9365321923390383
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,9,1.73599E+12,0.9498777506112469
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,10,1.73599E+12,0.9572127139364304
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,11,1.73599E+12,0.968520782
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,12,1.73599E+12,0.9699470252648736
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,13,1.73599E+12,0.9779951100244498
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,14,1.73599E+12,0.9767726161369193
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,15,1.73599E+12,0.9805419722901385
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,16,1.73599E+12,0.9744295028524858
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,17,1.73599E+12,0.9886919315403423
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,18,1.73599E+12,0.9866544417277914
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,19,1.73599E+12,0.9864506927465363
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,20,1.73599E+12,0.9850244498777506
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,21,1.73599E+12,0.9871638141809291
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,22,1.73599E+12,0.9822738386308069
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,23,1.73599E+12,0.990118174
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,24,1.73599E+12,0.987876936
Resnet18,1ee91b4b80f54467934270a45764aba6,train_accuracy,25,1.73599E+12,0.9855338223308884
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,1,1.73598E+12,0.3526894865525672
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,2,1.73598E+12,0.40922982885085574
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,3,1.73598E+12,0.5019356153219234
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,4,1.73599E+12,0.5409535452322738
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,5,1.73599E+12,0.5798696006519968
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,6,1.73599E+12,0.6042176039119804
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,7,1.73599E+12,0.6302974735126324
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,8,1.73599E+12,0.6529136104319478
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,9,1.73599E+12,0.6712510187449062
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,10,1.73599E+12,0.6943765281173594
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,11,1.73599E+12,0.7089445802770986
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,12,1.73599E+12,0.7322738386308069
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,13,1.73599E+12,0.751120619
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,14,1.73599E+12,0.7732273838630807
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,15,1.73599E+12,0.7841279543602282
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,16,1.73599E+12,0.7974735126324368
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,17,1.73599E+12,0.8263039934800326
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,18,1.73599E+12,0.8360839445802771
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,19,1.73599E+12,0.8605338223308884
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,20,1.73599E+12,0.8798899755501223
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,21,1.73599E+12,0.8888549307253464
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,22,1.73599E+12,0.9036267318663407
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,23,1.73599E+12,0.9112673186634067
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,24,1.73599E+12,0.9221678891605541
VGG16+GNN,04fafb5f4cb0491b98b8728230c81651,train_accuracy,25,1.73599E+12,0.9375509372453138
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,1,1.73598E+12,0.37367563162184186
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,2,1.73598E+12,0.4501833740831296
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,3,1.73598E+12,0.515077425
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,4,1.73598E+12,0.5584759576202118
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,5,1.73598E+12,0.5902607986960066
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,6,1.73598E+12,0.6071719641401793
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,7,1.73598E+12,0.6215362673186634
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,8,1.73598E+12,0.6373268133659332
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,9,1.73598E+12,0.6622860635696821
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,10,1.73598E+12,0.689079055
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,11,1.73598E+12,0.7036471067644662
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,12,1.73598E+12,0.7269763651181744
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,13,1.73598E+12,0.7408312958435208
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,14,1.73598E+12,0.7614099429502853
VGG16,9aca273a15e5467bba00371a616819dd,train_accuracy,15,1.73598E+12,0.7777098614506928
