Run,Run ID,metric,step,timestamp,value
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,1,1735794938793,1.0852509930536345
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,2,1735794955422,0.7729608915842973
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,3,1735794972188,0.6187788379656805
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,4,1735794988660,0.5105678299804787
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,5,1735795004915,0.4191889519041235
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,6,1735795021188,0.3109253975865129
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,7,1735795037425,0.2457610968161713
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,8,1735795053655,0.1961498205828202
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,9,1735795069852,0.14935381440808634
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,10,1735795086051,0.11442159849231119
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,11,1735795102585,0.09826597027698314
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,12,1735795119295,0.08527250637530119
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,13,1735795135670,0.08249195384514796
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,14,1735795151926,0.061153108743926536
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,15,1735795168204,0.0583122715417465
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,16,1735795184407,0.053495670275690105
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,17,1735795200564,0.06569119104389827
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,18,1735795216764,0.04959750955005164
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,19,1735795232966,0.05426363716228538
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,20,1735795248896,0.04223569056741869
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,21,1735795264637,0.037185170363813226
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,22,1735795280357,0.03997952989967806
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,23,1735795296070,0.029353776174372927
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,24,1735795311760,0.028574116064262783
Restnet18+GNN,1541b4e05c2445ba94cb511f85e8df3b,train_loss,25,1735795327439,0.03422153250740648
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,1,1735794551878,1.0805918427256795
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,2,1735794567750,0.77318625268224
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,3,1735794583197,0.6212474812160839
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,4,1735794598649,0.5148137224378524
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,5,1735794614110,0.405836424076712
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,6,1735794629779,0.32815874638882553
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,7,1735794645204,0.24487639504013123
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,8,1735794660639,0.21476152418302252
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,9,1735794676081,0.15501765529443692
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,10,1735794691591,0.12820592235967324
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,11,1735794706951,0.1154149104296774
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,12,1735794722388,0.0819789264169703
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,13,1735794737432,0.0850420214913108
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,14,1735794753324,0.08146461731355105
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,15,1735794768565,0.06401033916165931
Resnet18,2e7f486df458400f83579a1f4e70c45a,train_loss,16,1735794783849,0.040507929298313115
